КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ШиринаЕд,ВысотаЕд,ВсегоТовара,НаВитрине,Транзит,НаСкладе,СредняяЦена,РазницаЦен
GF18208,0.02983946,93799.0,0.5600000023841858,0.0949999988079071,0.3499999940395355,0.0,0.0,0.0,0.0,58554.07,35244.93
GF18208,0.021166435,85999.0,0.5600000023841858,0.1000000014901161,0.3499999940395355,0.0,0.0,0.0,0.0,58554.07,27444.93
GF18208,0.0039430936,57999.0,0.5299999713897705,0.0719999969005584,0.3300000131130218,0.0,0.0,0.0,0.0,58554.07,-555.0699999999997
GF18208,0.0039430936,38999.0,0.5,0.0649999976158142,0.3100000023841858,0.0,0.0,0.0,0.0,58554.07,-19555.07
GF18208,0.011122505,27999.0,0.5,0.0649999976158142,0.3100000023841858,0.0,0.0,0.0,0.0,58554.07,-30555.07
GF18208,0.016364453,32999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58554.07,-25555.07
GF18208,0.0039430936,46999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58554.07,-11555.07
GF18208,0.0061321673,38999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58554.07,-19555.07
GF18208,0.012129394,49999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58554.07,-8555.07
GF18208,0.012129394,49999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58554.07,-8555.07
MA76008,1.0713999e-06,2099.0,0.135000005364418,0.025000000372529,0.209999993443489,0.0,0.0,0.0,0.0,1424.25,674.75
MA76008,0.00671497,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.25,325.75
MA76008,0.02201612,799.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1424.25,-625.25
MA76008,0.018177161,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.25,-174.25
MA76008,1.0713999e-06,1299.0,0.1400000005960464,0.1000000014901161,0.0099999997764825,0.0,0.0,0.0,0.0,1424.25,-125.25
MA76008,1.0713999e-06,499.0,0.1400000005960464,0.1000000014901161,0.0099999997764825,0.0,0.0,0.0,0.0,1424.25,-925.25
MA76008,0.018855566,1199.0,0.1199999973177909,0.1199999973177909,0.0299999993294477,0.0,0.0,0.0,0.0,1424.25,-225.25
MA76008,1.0713999e-06,2499.0,0.1700000017881393,0.0900000035762786,0.0299999993294477,0.0,0.0,0.0,0.0,1424.25,1074.75
GF18250,0.012664416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-27559.02
GF18250,0.011188845,32999.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27559.02,5439.98
GF18250,1.0732556e-06,139999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,112439.98
GF18250,0.011188845,20999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-6560.02
GF18250,0.013504058,34999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,7439.98
GF18250,0.023512237,13999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-13560.02
GF18250,0.026895903,18999.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27559.02,-8560.02
GF18250,0.026737802,4999.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27559.02,-22560.02
GF18250,0.039305307,23999.0,0.1749999970197677,0.0900000035762786,0.0599999986588954,0.0,0.0,0.0,0.0,27559.02,-3560.0200000000004
GF18250,1.0732556e-06,20599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-6960.02
GF18250,0.011279593,31999.0,0.2300000041723251,0.0599999986588954,0.1000000014901161,0.0,0.0,0.0,0.0,27559.02,4439.98
GF18250,0.035067488,17999.0,0.1749999970197677,0.0869999974966049,0.0549999997019767,0.0,0.0,0.0,0.0,27559.02,-9560.02
GF18250,0.03528378,3199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-24360.02
GF18250,0.028181517,15999.0,0.1850000023841858,0.0949999988079071,0.0599999986588954,1.0,1.0,0.0,0.0,27559.02,-11560.02
GF18250,0.021744428,7499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-20060.02
GF18250,0.019005049,69999.0,0.181999996304512,0.096000000834465,0.0649999976158142,0.0,0.0,0.0,0.0,27559.02,42439.979999999996
GF18250,1.0732556e-06,24999.0,0.1800000071525573,0.0900000035762786,0.0549999997019767,0.0,0.0,0.0,0.0,27559.02,-2560.0200000000004
GF18250,0.019103948,3799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-23760.02
GF18250,0.0035764454,12999.0,0.1700000017881393,0.0799999982118606,0.0450000017881393,0.0,0.0,0.0,0.0,27559.02,-14560.02
GF18250,0.026943538,14999.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27559.02,-12560.02
GF18250,0.035288334,14999.0,0.1000000014901161,0.0700000002980232,0.1949999928474426,0.0,0.0,0.0,0.0,27559.02,-12560.02
GF18250,0.009533013,5999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559.02,-21560.02
GF18250,0.03346085,34999.0,0.1800000071525573,0.0900000035762786,0.0599999986588954,0.0,0.0,0.0,0.0,27559.02,7439.98
GF18250,0.012711042,23999.0,0.1700000017881393,0.0900000035762786,0.0700000002980232,0.0,0.0,0.0,0.0,27559.02,-3560.0200000000004
